x,y,z,Cell Type
0.0525981,0.397343,-0.053252,Arterial Endothelial
0.0197666,0.429165,-0.0510924,Arterial Endothelial
0.0108325,0.4424,-0.0136936,Arterial Endothelial
0.00453174,0.425762,-0.0120553,Arterial Endothelial
0.032226,0.4362,-0.0111716,Arterial Endothelial
0.00656085,0.416383,-0.0130972,Arterial Endothelial
0.0714917,0.397836,-0.0355494,Arterial Endothelial
0.055947,0.413211,-0.0208891,Arterial Endothelial
0.0599762,0.392254,-0.0297713,Arterial Endothelial
0.0564403,0.438257,-0.0199253,Arterial Endothelial
0.0338057,0.439867,-0.0331364,Arterial Endothelial
0.032313,0.462528,-0.0166801,Arterial Endothelial
0.0579887,0.399127,-0.0187758,Arterial Endothelial
0.0397868,0.403914,-0.0147739,Arterial Endothelial
0.075988,0.426575,-0.017273,Arterial Endothelial
0.0607844,0.390616,-0.0320291,Arterial Endothelial
0.0342654,0.409495,-0.0490267,Arterial Endothelial
0.0302599,0.408107,-0.0203438,Arterial Endothelial
0.00712532,0.401378,-0.0390353,Arterial Endothelial
0.0507925,0.408923,-0.0381675,Arterial Endothelial
0.00316701,0.433623,-0.0183402,Arterial Endothelial
0.0587963,0.420795,-0.0109537,Arterial Endothelial
0.0703939,0.397219,-0.0358434,Arterial Endothelial
0.0375718,0.460245,-0.0157429,Arterial Endothelial
0.0288123,0.406634,-0.0220783,Arterial Endothelial
0.0433395,0.467335,-0.0376729,Arterial Endothelial
0.0509092,0.4624,-0.0320198,Arterial Endothelial
0.0188074,0.443936,-0.045381,Arterial Endothelial
0.0379073,0.409234,-0.0116416,Arterial Endothelial
0.0121377,0.451983,-0.0239966,Arterial Endothelial
0.0136996,0.404102,-0.0600101,Arterial Endothelial
0.00343567,0.404376,-0.025686,Arterial Endothelial
0.0159175,0.39922,-0.0372944,Arterial Endothelial
0.00662855,0.406915,-0.0202133,Arterial Endothelial
0.00840664,0.434676,-0.0127745,Arterial Endothelial
0.0578865,0.396903,-0.0370842,Arterial Endothelial
0.0199541,0.450707,-0.012581,Arterial Endothelial
0.0708805,0.412867,-0.0147459,Arterial Endothelial
0.0207304,0.430429,-0.0492873,Arterial Endothelial
0.0151169,0.446539,-0.0501736,Arterial Endothelial
0.0203622,0.466897,-0.0396911,Arterial Endothelial
0.0124529,0.467441,-0.0302989,Arterial Endothelial
0.0444026,0.402471,-0.0467595,Arterial Endothelial
0.0670458,0.398826,-0.0454331,Arterial Endothelial
0.0472819,0.414854,-0.0180844,Arterial Endothelial
0.0165049,0.45449,-0.0167343,Arterial Endothelial
0.0370831,0.452103,-0.0117898,Arterial Endothelial
0.0113366,0.451041,-0.0253085,Arterial Endothelial
0.0411185,0.397901,-0.0504506,Arterial Endothelial
0.0651868,0.409587,-0.0188872,Arterial Endothelial
0.00144455,0.430577,-0.0213461,Arterial Endothelial
0.0272623,0.47801,-0.0464787,Arterial Endothelial
0.0523556,0.393279,-0.0242536,Arterial Endothelial
0.018453,0.403332,-0.0525312,Arterial Endothelial
0.0670907,0.397074,-0.0239093,Arterial Endothelial
0.00201774,0.411297,-0.017804,Arterial Endothelial
0.0593211,0.425981,-0.0205387,Arterial Endothelial
0.0512268,0.454466,-0.023783,Arterial Endothelial
0.0462282,0.422838,-0.028604,Arterial Endothelial
0.0191214,0.474673,-0.0414173,Arterial Endothelial
0.038138,0.453256,-0.011517,Capillary Endothelial
0.0626748,0.398128,-0.0356005,Capillary Endothelial
0.0125246,0.416611,-0.0109867,Capillary Endothelial
0.0370753,0.477348,-0.0221443,Capillary Endothelial
0.00452127,0.449733,-0.037273,Capillary Endothelial
0.0409778,0.456601,-0.0122573,Capillary Endothelial
0.0256557,0.449578,-0.0123462,Capillary Endothelial
0.00767581,0.424539,-0.0143967,Capillary Endothelial
0.0630619,0.395421,-0.0282562,Capillary Endothelial
0.0128388,0.443008,-0.0575411,Capillary Endothelial
0.0219366,0.402083,-0.0262139,Capillary Endothelial
0.0272491,0.481943,-0.0459933,Capillary Endothelial
0.0492394,0.397622,-0.036031,Capillary Endothelial
0.0698808,0.404654,-0.0309936,Capillary Endothelial
0.0623218,0.402892,-0.035583,Capillary Endothelial
0.0245193,0.494701,-0.0375699,Capillary Endothelial
0.0572867,0.392865,-0.0257191,Capillary Endothelial
0.0212521,0.400627,-0.0335489,Capillary Endothelial
0.0264593,0.48449,-0.0251629,Capillary Endothelial
0.0525634,0.396687,-0.0313197,Capillary Endothelial
0.0510466,0.419063,-0.0317447,Capillary Endothelial
0.0076494,0.401262,-0.0516297,Capillary Endothelial
0.0302393,0.483529,-0.0226809,Capillary Endothelial
0.0571704,0.397454,-0.051646,Capillary Endothelial
0.0426932,0.427845,-0.00816947,Capillary Endothelial
0.0275602,0.405586,-0.0216454,Capillary Endothelial
0.0810127,0.406093,-0.0252913,Capillary Endothelial
0.019717,0.406995,-0.060072,Capillary Endothelial
0.031149,0.482013,-0.0255583,Capillary Endothelial
0.0393879,0.408786,-0.0150114,Capillary Endothelial
0.0181251,0.46009,-0.0405991,Capillary Endothelial
0.0786442,0.398731,-0.0329297,Capillary Endothelial
0.0433601,0.394052,-0.0538565,Capillary Endothelial
0.045484,0.467139,-0.0395153,Capillary Endothelial
0.0840162,0.405345,-0.0259046,Capillary Endothelial
0.0460489,0.427504,-0.0314953,Capillary Endothelial
0.00988889,0.456758,-0.0250926,Capillary Endothelial
0.0662723,0.422389,-0.0130118,Capillary Endothelial
0.0207586,0.43363,-0.0110145,Capillary Endothelial
0.0508424,0.401156,-0.0479127,Capillary Endothelial
0.0206504,0.428779,-0.049893,Capillary Endothelial
0.0370548,0.462955,-0.0379623,Capillary Endothelial
0.0425664,0.475514,-0.0374167,Capillary Endothelial
0.05647,0.446943,-0.0234776,Capillary Endothelial
0.00953627,0.454553,-0.0414429,Capillary Endothelial
0.04641,0.464589,-0.0216656,Capillary Endothelial
0.0286019,0.468564,-0.0438087,Capillary Endothelial
0.0214834,0.425342,-0.0121448,Capillary Endothelial
0.0123384,0.45265,-0.0413134,Capillary Endothelial
0.0239148,0.406973,-0.0613194,Capillary Endothelial
0.0220709,0.415023,-0.0136493,Capillary Endothelial
0.0146116,0.40328,-0.025782,Capillary Endothelial
0.0539999,0.434112,-0.0107948,Capillary Endothelial
0.0259365,0.472676,-0.0187226,Capillary Endothelial
-0.000285976,0.404669,-0.0324681,Capillary Endothelial
0.0477002,0.399149,-0.0551745,Capillary Endothelial
0.0225677,0.440049,-0.0093403,Capillary Endothelial
0.00615907,0.410121,-0.0196656,Capillary Endothelial
0.0289527,0.446142,-0.0397852,Capillary Endothelial
0.0137161,0.44345,-0.0157588,Capillary Endothelial
0.0390066,0.465149,-0.0395215,Capillary Endothelial
0.0250737,0.459343,-0.0144765,Capillary Endothelial
0.0349871,0.416822,-0.010221,Capillary Endothelial
0.064476,0.42496,-0.0121696,Capillary Endothelial
0.0103462,0.449402,-0.04861,Capillary Endothelial
0.0729273,0.392403,-0.0256956,Capillary Endothelial
0.02912,0.426587,-0.0413414,Capillary Endothelial
0.0674351,0.426684,-0.0201432,Capillary Endothelial
0.0760235,0.397034,-0.0212365,Capillary Endothelial
0.0190312,0.399858,-0.0429717,Capillary Endothelial
0.0359332,0.402632,-0.028277,Capillary Endothelial
0.024594,0.443573,-0.00718192,Capillary Endothelial
0.00531245,0.449158,-0.0247676,Capillary Endothelial
0.0449419,0.404597,-0.0494365,Capillary Endothelial
0.0755922,0.392732,-0.0312357,Capillary Endothelial
0.0651468,0.396743,-0.046256,Capillary Endothelial
0.027787,0.400323,-0.0316179,Capillary Endothelial
0.0470975,0.39222,-0.0480557,Capillary Endothelial
0.038688,0.400642,-0.0295557,Capillary Endothelial
0.0687472,0.391259,-0.0449715,Capillary Endothelial
0.0760387,0.395065,-0.0492117,Capillary Endothelial
0.0425188,0.414329,-0.0115025,Capillary Endothelial
0.0336617,0.401271,-0.0344343,Capillary Endothelial
0.0438329,0.398158,-0.0425397,Capillary Endothelial
0.0644839,0.389781,-0.0361226,Capillary Endothelial
0.0256436,0.441411,-0.0428841,Capillary Endothelial
0.0379224,0.399334,-0.0406181,Capillary Endothelial
0.0544286,0.459069,-0.0215787,Capillary Endothelial
0.0733862,0.420772,-0.0161799,Capillary Endothelial
0.0474792,0.392415,-0.0389524,Capillary Endothelial
0.0548136,0.464878,-0.0329332,Capillary Endothelial
0.0421855,0.394619,-0.0476847,Capillary Endothelial
0.0451526,0.454366,-0.0158263,Capillary Endothelial
0.0563158,0.412224,-0.0218639,Capillary Endothelial
0.031486,0.40078,-0.0316594,Capillary Endothelial
0.0219031,0.470482,-0.0180921,Capillary Endothelial
0.0511474,0.414584,-0.0278128,Capillary Endothelial
0.026514,0.398395,-0.0468833,Capillary Endothelial
0.0353143,0.435291,-0.00657411,Capillary Endothelial
0.0802263,0.400579,-0.033072,Capillary Endothelial
0.0560929,0.39179,-0.0454071,Capillary Endothelial
0.0155351,0.443553,-0.0178066,Capillary Endothelial
0.0805479,0.403445,-0.0199191,Capillary Endothelial
0.0136213,0.413233,-0.0605681,Capillary Endothelial
-0.00148279,0.425081,-0.0190014,Capillary Endothelial
0.0429064,0.461816,-0.0374699,Capillary Endothelial
0.0437958,0.40424,-0.0473983,Capillary Endothelial
0.0259559,0.402253,-0.0449923,Capillary Endothelial
0.0649319,0.406757,-0.0166941,Capillary Endothelial
0.0760521,0.399567,-0.0298234,Capillary Endothelial
0.0146966,0.440151,-0.0522726,Capillary Endothelial
0.0599376,0.410282,-0.0212992,Capillary Endothelial
0.0481919,0.471604,-0.0400652,Capillary Endothelial
0.0220019,0.437885,-0.0457378,Capillary Endothelial
0.0189392,0.459036,-0.0406952,Capillary Endothelial
0.0178933,0.416911,-0.0116,Capillary Endothelial
0.0556782,0.442864,-0.0194565,Capillary Endothelial
0.0205762,0.39962,-0.0391096,Capillary Endothelial
0.0844722,0.39466,-0.0353511,Capillary Endothelial
0.0362434,0.434845,-0.00688219,Capillary Endothelial
0.0839809,0.395554,-0.040699,Capillary Endothelial
0.0318115,0.405713,-0.03122,Capillary Endothelial
0.0693938,0.40283,-0.0277362,Capillary Endothelial
0.0180328,0.401385,-0.0334847,Capillary Endothelial
0.0291775,0.447307,-0.0115452,Capillary Endothelial
0.0403737,0.461432,-0.0158108,Capillary Endothelial
0.0302487,0.471277,-0.016483,Capillary Endothelial
0.0396428,0.442378,-0.0313651,Capillary Endothelial
0.0595204,0.445562,-0.0191388,Capillary Endothelial
0.0692604,0.426088,-0.0203088,Capillary Endothelial
0.0691209,0.394772,-0.037451,Capillary Endothelial
0.0245651,0.415294,-0.0113923,Capillary Endothelial
0.0393913,0.441152,-0.0303652,Capillary Endothelial
0.0168665,0.398295,-0.0399288,Capillary Endothelial
0.032201,0.470984,-0.0447561,Capillary Endothelial
0.0376207,0.41363,-0.0102733,Capillary Endothelial
0.0301848,0.405065,-0.0611108,Capillary Endothelial
0.046157,0.39886,-0.0326218,Capillary Endothelial
0.0110187,0.451035,-0.0194386,Capillary Endothelial
0.0210188,0.492662,-0.0313488,Capillary Endothelial
0.0164442,0.450004,-0.0134623,Capillary Endothelial
0.0404449,0.468129,-0.0176023,Capillary Endothelial
0.0664063,0.392162,-0.025692,Capillary Endothelial
0.0404695,0.393343,-0.0332862,Capillary Endothelial
0.0165983,0.439054,-0.0532861,Capillary Endothelial
0.0151536,0.465221,-0.0357659,Capillary Endothelial
0.0588786,0.405639,-0.0190016,Capillary Endothelial
0.0382882,0.461189,-0.0167046,Capillary Endothelial
0.0725954,0.412064,-0.0219831,Capillary Endothelial
0.0108503,0.453513,-0.0444066,Capillary Endothelial
0.0208561,0.468891,-0.0178077,Capillary Endothelial
0.0364389,0.398719,-0.0458935,Capillary Endothelial
0.0521101,0.392712,-0.0521963,Capillary Endothelial
0.0737236,0.400727,-0.0247755,Capillary Endothelial
0.0394618,0.414843,-0.0422669,Capillary Endothelial
0.0381074,0.445644,-0.0124014,Capillary Endothelial
0.0448432,0.428474,-0.00797108,Capillary Endothelial
0.0684886,0.390518,-0.0325158,Capillary Endothelial
0.0301013,0.432395,-0.0393618,Capillary Endothelial
0.0257674,0.402833,-0.0201641,Capillary Endothelial
0.0412323,0.465241,-0.0364981,Capillary Endothelial
0.0175504,0.401648,-0.0262619,Capillary Endothelial
0.0598959,0.422634,-0.0111071,Capillary Endothelial
0.0418194,0.396894,-0.0601827,Capillary Endothelial
0.0641424,0.40382,-0.0204672,Capillary Endothelial
0.0322006,0.408998,-0.0133076,Capillary Endothelial
0.0229687,0.447451,-0.00934336,Capillary Endothelial
0.0200409,0.434039,-0.00837793,Capillary Endothelial
0.00791883,0.441503,-0.0187372,Capillary Endothelial
0.0308287,0.404865,-0.0238461,Capillary Endothelial
0.015537,0.448888,-0.0265061,Capillary Endothelial
0.0381486,0.407242,-0.0514602,Capillary Endothelial
0.0466372,0.464391,-0.0214942,Capillary Endothelial
0.0326292,0.400195,-0.0444993,Capillary Endothelial
0.0344044,0.398963,-0.047911,Capillary Endothelial
0.0162436,0.401823,-0.0501298,Capillary Endothelial
0.0234344,0.4013,-0.0568182,Capillary Endothelial
0.0662054,0.430052,-0.0112226,Capillary Endothelial
0.042474,0.459259,-0.0167008,Capillary Endothelial
0.0128923,0.450181,-0.0341502,Capillary Endothelial
0.0273924,0.471016,-0.0176749,Capillary Endothelial
0.0345711,0.404505,-0.0220857,Capillary Endothelial
0.0167858,0.454815,-0.0435288,Capillary Endothelial
0.0324591,0.473098,-0.0448465,Capillary Endothelial
0.0811152,0.4053,-0.0260903,Capillary Endothelial
0.0289646,0.464747,-0.0414728,Capillary Endothelial
0.0110308,0.455626,-0.0343988,Capillary Endothelial
0.0749459,0.412875,-0.0215487,Capillary Endothelial
0.0309955,0.440144,-0.00548584,Capillary Endothelial
0.0585906,0.408844,-0.0298225,Capillary Endothelial
0.0194317,0.463092,-0.0197423,Capillary Endothelial
0.0504245,0.432499,-0.0291972,Capillary Endothelial
0.0612662,0.399534,-0.018582,Capillary Endothelial
0.0587022,0.425004,-0.0128474,Capillary Endothelial
0.0692696,0.391616,-0.0324171,Capillary Endothelial
0.0617641,0.442361,-0.0206259,Capillary Endothelial
0.014809,0.462483,-0.02282,Capillary Endothelial
0.0108068,0.45113,-0.0427528,Capillary Endothelial
0.0212776,0.449156,-0.0111689,Capillary Endothelial
0.0679272,0.393754,-0.0506747,Capillary Endothelial
0.0774511,0.421375,-0.0164091,Capillary Endothelial
0.00692564,0.449865,-0.0405983,Capillary Endothelial
0.0383282,0.397928,-0.0236987,Capillary Endothelial
0.0153197,0.473886,-0.0412385,Capillary Endothelial
0.0273889,0.458738,-0.0120163,Capillary Endothelial
0.0295213,0.415378,-0.0492882,Capillary Endothelial
0.0633294,0.424683,-0.0205875,Capillary Endothelial
